Timestamp,CPU Usage (%),RAM Usage (%),Disk Usage (%)
1722955277.5639012,0.0,73.4,78.4
1722955282.5819845,1.8,73.3,78.4
1722955287.5934498,0.9,73.1,78.4
1722955292.608713,4.7,73.5,78.4
1722955297.6187093,4.0,73.3,78.4
1722955302.6310854,2.1,73.2,78.4
1722955464.0383291,7.1,79.4,78.2
1722955469.0488365,15.0,77.2,78.2
1722955474.0564315,15.3,76.7,78.2
1722955479.063004,10.0,77.3,78.2
1722955484.0695543,7.4,77.4,78.2
1722955489.0764685,8.9,78.5,78.2
1722955494.0835757,17.0,82.6,78.2
1722955499.0922084,15.2,85.1,78.2
1722955504.1091113,13.3,87.7,78.2
1722955509.1194372,21.2,92.4,78.2
1722955514.1262364,14.2,88.0,78.2
1722955519.1662226,8.3,86.3,78.2
1722955534.8019483,0.0,72.0,78.2
1722955539.8130991,21.0,76.4,78.2
1722955544.8193023,5.9,76.2,78.2
1722955549.8270664,0.7,76.2,78.2
1722955554.835214,3.5,75.6,78.2
1722955559.8490553,2.4,71.9,78.2
1722955564.8574724,0.3,71.7,78.2
1722955569.8651733,4.8,71.2,78.2
1722955574.8731477,7.6,71.2,78.2
1722955579.881284,2.3,71.2,78.2
1722955584.8897314,5.3,71.4,78.2
1722955589.8971817,4.2,71.0,78.2
1722955594.9046082,6.2,72.3,78.2
1722955599.9108047,7.8,72.3,78.2
1722955604.9192498,4.9,72.1,78.2
1722955609.9279838,2.4,71.9,78.2
1722955614.935749,3.1,73.4,78.2
1722955619.9448414,4.6,74.5,78.2
1722955624.9511583,2.1,74.6,78.2
1722955629.9610112,6.5,74.7,78.2
1722955634.9699595,2.2,74.7,78.2
1722955639.977498,5.0,74.8,78.2
1722955644.9868243,5.1,74.8,78.2
1722955649.995007,25.6,82.1,78.2
1722955655.0033884,17.5,85.0,78.2
1722955660.0112185,8.4,85.5,78.2
1722955665.0187185,7.1,86.0,78.2
1722955670.027162,7.6,85.5,78.2
1722955675.0349092,11.6,85.6,78.2
1722955680.0412314,14.8,82.0,78.2
1722955685.0488095,8.3,82.2,78.2
1722955690.0550947,9.4,81.8,78.2
1722955695.0617874,11.4,82.2,78.2
1722955700.0684514,7.4,82.2,78.2
1722955705.0761771,16.1,84.3,78.2
1722955710.083526,16.0,84.9,78.2
1722955715.0979028,11.4,84.1,78.2
1722955720.1047013,8.3,84.1,78.2
1722955725.1125505,5.4,84.1,78.2
1722955730.120882,6.3,84.6,78.2
1722955735.1283379,6.8,84.7,78.2
1722955740.1386085,10.4,84.7,78.2
1722955745.1479619,1.7,84.8,78.2
1722955750.1579468,3.3,84.8,78.2
1722955755.1662815,0.8,84.7,78.2
1722955760.1754158,1.1,84.7,78.2
1722955765.184986,2.7,84.7,78.2
1722955770.1935208,3.8,84.9,78.2
1722955775.201268,7.9,85.3,78.2
1722955780.2106862,2.8,85.4,78.2
1722955785.2193167,2.1,85.0,78.2
1722955790.2280755,2.7,84.8,78.2
1722955795.261173,63.3,97.0,78.2
1722955800.3793755,99.9,97.9,78.2
1722955805.444669,99.9,99.7,78.2
1722955810.4908473,96.1,100.0,78.2
1722955815.6824374,88.9,95.4,78.2
1722955820.7069807,100.0,95.0,78.2
1722955825.7262528,100.0,93.6,78.2
1722955830.7436597,95.1,45.7,78.2
1722955835.7520359,13.2,43.0,78.2
1722955840.760349,9.2,41.4,78.2
1722955845.766389,4.9,42.2,78.2
1722955850.77501,4.5,43.3,78.2
1722955855.7868454,7.4,42.6,78.2
1722955860.8151646,9.8,45.3,78.2
1722955865.8227684,6.3,47.0,78.2
1722955870.8328502,19.8,51.8,78.2
1722955875.8409626,87.5,66.2,78.2
1722955880.8499606,99.0,73.9,78.2
1722955885.859828,58.7,73.1,78.2
1722955890.8684585,27.3,75.1,78.2
1722955895.8763785,21.2,75.4,78.2
1722955900.8834538,72.9,78.5,78.2
1722955905.8924322,44.3,79.5,78.2
1722955910.8994856,56.1,82.2,78.2
1722955915.911012,83.7,84.2,78.2
1722955920.918131,25.4,84.3,78.2
1722955925.926795,13.1,39.7,78.2
1722955930.9343584,7.3,43.7,78.2
1722955935.9438264,8.8,47.3,78.2
1722955940.9509873,10.8,50.8,78.2
1722955945.9573765,6.0,52.8,78.2
1722955950.9633193,20.4,54.6,78.2
1722955955.9697316,5.0,54.4,78.2
1722955960.976899,16.5,57.5,78.2
1722955965.9851778,10.7,61.1,78.2
1722955970.9933286,4.9,61.3,78.2
1722955976.0013416,5.3,61.8,78.3
1722955981.0138998,7.4,61.6,78.3
1722955986.0227246,6.4,60.4,78.3
1722955991.0295782,4.6,60.8,78.3
1722955996.0390136,2.1,60.9,78.3
1722956001.052504,4.5,61.0,78.3
1722956006.059131,3.1,60.9,78.3
1722956011.0679305,4.8,62.3,78.3
1722956016.0796318,6.3,62.7,78.3
1722956021.1206117,4.2,61.7,78.3
1722956026.1315124,4.3,61.6,78.3
1722956031.1385622,1.2,61.5,78.3
1722956036.1483605,3.4,60.9,78.3
1722956041.2010953,25.6,66.7,78.4
1722956046.263743,26.2,73.7,78.4
1722956051.2707584,8.1,74.1,78.4
1722956056.2766836,5.2,74.3,78.4
1722956061.2860217,6.3,74.5,78.4
1722956066.3074439,6.1,75.1,78.4
1722956071.3172119,14.1,73.7,78.5
1722956076.3254447,10.6,73.5,78.5
1722956083.579043,5.5,75.4,78.5
1722956088.606338,12.8,76.4,78.5
1722956093.6164968,5.1,77.8,78.5
1722956098.6742394,7.2,77.4,78.5
1722956103.6997333,31.7,78.3,78.5
1722956108.7096558,13.1,81.0,78.5
1722956113.7171168,11.6,82.8,78.5
1722956118.851773,8.1,83.9,78.5
1722956123.8594186,5.3,83.1,78.5
1722956128.867723,7.3,83.4,78.5
1722956138.1560066,9.9,81.3,78.6
1722956143.164921,11.0,76.6,78.5
1722956148.171911,11.5,77.8,78.5
1722956153.179845,10.9,78.0,78.5
1722956158.1878982,5.8,78.6,78.5
1722956163.1960447,8.3,78.3,78.5
1722956168.2060175,12.2,79.6,78.5
1722956173.2143786,8.6,79.3,78.5
1722956178.2211874,6.3,79.7,78.5
1722956183.2284455,5.4,79.3,78.5
1722956188.2403688,8.6,79.4,78.5
1722956193.250563,5.1,79.0,78.5
1722956198.2569897,4.6,79.2,78.6
1722956203.2634506,6.4,79.9,78.6
1722956208.2707086,4.4,79.8,78.6
1722956213.2810237,8.9,79.7,78.6
1722956218.2880147,5.0,79.4,78.6
1722956223.294872,10.2,80.4,78.6
1722956228.306254,8.8,78.4,78.5
1722956233.313312,6.6,77.6,78.5
1722956238.3234973,3.0,77.7,78.5
1722956243.335342,5.5,77.4,78.5
1722956248.347052,3.2,77.3,78.5
1722956253.3561943,6.4,76.7,78.5
1722956258.3649411,1.3,76.4,78.5
1722956263.3736863,6.4,73.4,78.5
1722956268.389482,9.6,73.2,78.5
1722956273.4180636,7.1,70.4,78.5
1722956278.4262645,8.4,71.0,78.5
1722956283.4354162,9.4,73.8,78.5
1722956288.449237,8.1,77.1,78.5
1722956293.455008,5.0,79.0,78.5
1722956298.4619374,7.1,80.8,78.5
1722956303.4689133,10.3,81.8,78.5
1722956308.4761245,8.7,83.1,78.5
1722956313.484168,12.2,86.2,78.5
1722956318.494048,8.7,94.0,78.5
1722956323.503478,8.3,93.7,78.5
1722956328.512253,8.5,89.5,78.5
1722956333.5211387,4.1,88.3,78.5
1722956338.5272717,5.7,93.4,78.5
1722956343.534712,6.7,91.7,78.5
1722956348.5404627,6.2,91.0,78.5
1722956353.5479784,5.5,84.3,78.5
1722956358.55387,3.6,84.6,78.5
1722956363.5602574,3.4,86.1,78.5
1722956368.5665956,2.6,81.0,78.5
1722956373.5727808,4.7,86.6,78.5
1722956378.5784328,2.2,85.6,78.5
1722956383.5844252,4.3,84.5,78.5
1722956388.5909216,1.7,84.0,78.5
1722956393.5995681,3.6,85.0,78.5
1722956398.6071236,3.7,87.1,78.5
1722956403.6125433,2.8,87.4,78.5
1722956408.61861,2.8,87.3,78.5
1722956413.6272116,20.0,89.7,78.5
1722956418.6404874,12.9,89.2,78.5
1722956423.6478395,9.3,89.3,78.5
1722956428.660099,20.1,91.2,78.5
1722956433.6743011,15.9,87.7,78.5
1722956438.6858623,12.0,88.4,78.5
1722956443.6986854,11.8,89.6,78.5
1722956448.7090619,12.5,88.5,78.5
1722956453.7181702,7.6,88.8,78.5
1722956458.7287626,8.9,87.3,78.5
1722956463.7383661,5.7,87.3,78.5
1722956468.7480958,6.0,87.2,78.5
1722956473.7572255,6.8,87.2,78.5
1722956478.7670364,8.0,87.2,78.5
1722956483.7774136,6.1,87.5,78.5
1722956488.7868044,5.8,87.5,78.5
1722956493.795548,9.1,90.3,78.5
1722956498.805504,8.2,91.6,78.5
1722956503.816526,6.6,90.9,78.5
1722956508.8282669,8.4,91.4,78.5
1722956513.8365972,8.0,92.0,78.5
1722956518.843336,8.5,92.2,78.5
1722956523.852034,10.1,93.1,78.5
1722956528.8615067,5.4,92.9,78.5
1722956533.871223,7.7,92.8,78.5
1722956538.8805056,5.5,92.8,78.5
1722956543.888272,10.8,93.1,78.5
1722956548.8963459,5.6,93.4,78.5
1722956553.905182,5.4,93.4,78.5
1722956558.912497,6.3,93.4,78.5
1722956563.9201899,5.7,93.3,78.5
1722956568.9271479,5.1,93.2,78.5
1722956573.9345956,7.6,93.5,78.5
1722956578.9428117,7.1,93.7,78.5
1722956583.9511607,5.4,93.9,78.5
1722956588.9586568,6.7,94.0,78.5
1722956593.967507,6.2,94.0,78.5
1722956598.9747803,5.4,94.1,78.5
1722956603.9824967,5.1,94.0,78.5
1722956608.9924607,12.0,93.5,78.5
1722956614.0007927,8.1,88.5,78.5
1722956619.0104697,6.7,88.1,78.5
1722956624.0242176,7.3,88.1,78.5
1722956629.0463002,11.8,90.0,78.5
1722956634.073876,33.3,89.8,78.5
1722956639.080779,15.9,89.6,78.5
1722956644.0876353,15.1,89.3,78.5
1722956649.096776,15.8,90.3,78.5
1722956654.1114378,6.2,90.3,78.5
1722956659.1229675,5.8,90.5,78.5
1722956664.1349926,6.5,89.6,78.5
1722956669.1424158,12.6,90.7,78.5
1722956674.1507323,14.1,90.3,78.5
1722956679.1648738,7.8,90.1,78.5
1722956684.173974,9.9,90.5,78.5
1722956689.1843987,6.5,90.6,78.5
1722956694.1934068,5.8,90.8,78.5
1722956699.2046378,11.2,91.1,78.5
1722956704.2131555,8.1,91.1,78.5
1722956709.220948,4.9,91.1,78.5
1722956714.2285292,6.2,90.9,78.5
1722956719.236431,5.8,90.9,78.5
1722956724.2441092,5.6,90.9,78.5
1722956729.25247,5.4,90.6,78.5
1722956734.2608705,5.4,91.0,78.5
1722956739.2729473,8.8,91.9,78.5
1722956744.2821126,5.6,92.4,78.5
1722956749.2904098,6.9,92.2,78.5
1722956754.3158195,24.0,91.5,78.5
1722956759.3520474,24.8,92.3,78.5
1722956764.3779173,32.5,93.0,78.5
1722956769.411306,43.7,93.6,78.5
1722956774.444138,30.4,93.6,78.5
1722956779.4758484,30.6,94.0,78.5
1722956784.531523,31.9,94.1,78.5
1722956789.5693004,36.5,94.5,78.5
1722956794.5956554,31.5,95.2,78.5
1722956799.6367242,39.8,92.3,78.5
1722956804.676833,16.3,92.3,78.5
1722956809.686224,14.9,92.8,78.5
1722956814.6941955,16.3,91.6,78.5
1722956819.7030437,16.3,91.7,78.5
1722956824.713711,16.7,92.0,78.5
1722956829.7238095,15.5,92.0,78.5
1722956834.7335985,16.0,92.5,78.5
1722956839.744218,16.1,92.8,78.5
1722956844.7531183,15.4,92.7,78.5
1722956849.7613633,12.5,92.8,78.5
1722956854.7698708,11.3,93.0,78.5
1722956859.7784977,9.7,93.0,78.5
1722956864.7861626,8.7,93.1,78.5
1722956869.794304,8.7,92.9,78.5
1722956874.8027117,10.7,93.1,78.5
1722956879.8129163,9.1,93.1,78.5
1722956884.8222513,9.8,93.0,78.5
1722956889.8318734,9.4,93.2,78.5
1722956894.8405647,11.6,93.9,78.5
1722956899.849213,10.1,94.0,78.5
1722956904.8582883,9.2,94.1,78.5
1722956909.86515,8.8,94.0,78.5
1722956914.8732195,13.8,94.2,78.5
1722956919.9126384,21.6,94.3,78.5
1722956924.950244,25.5,94.1,78.5
1722956929.9835489,26.3,94.1,78.5
1722956935.0186398,39.8,94.4,78.5
1722956940.0626137,29.9,94.4,78.5
1722956945.1040847,23.8,94.4,78.5
1722956950.1410303,49.9,94.6,78.5
1722956955.1777499,86.8,94.7,78.5
1723286953.0375128,0.0,89.0,77.6
1723286958.0461206,6.7,90.4,77.6
1723286963.051205,6.2,90.6,77.6
1723286968.057535,4.7,90.0,77.7
1723286973.062745,4.1,87.9,77.7
1723286978.0674424,7.5,88.9,77.7
1723286983.0719318,4.2,87.7,77.8
1723286988.0761058,1.3,85.7,77.8
1723286993.0810251,4.0,86.1,77.8
1723286998.085597,1.5,85.8,77.8
1723287003.0904453,4.1,85.8,77.8
1723289681.9280965,0.0,87.9,77.7
1723289686.935781,2.9,86.3,77.7
1723289691.9444585,0.7,86.2,77.7
1723289696.9506292,0.7,86.2,77.7
1723289701.957072,1.0,87.0,77.7
1723289706.9623237,8.1,85.6,77.8
1723289711.9660265,7.2,85.2,77.7
1723289716.970162,1.2,83.6,77.7
1723289721.9756205,0.2,82.9,77.7
1723289726.9819484,0.2,82.7,77.7
1723289731.9886212,0.2,82.4,77.7
1723289736.9937823,1.3,82.2,77.7
1723289741.9991915,0.6,81.9,77.7
1723289747.0052364,0.1,81.8,77.7
1723289752.012715,0.4,81.7,77.7
1723289757.0193439,0.2,81.6,77.7
1723289762.0249383,0.2,81.6,77.7
1723289767.0294864,0.5,81.7,77.7
1723289772.0333657,1.2,81.7,77.7
1723289777.0387287,0.3,81.6,77.7
1723289782.0441024,0.3,81.6,77.7
1723289787.0497603,0.5,81.5,77.7
1723289792.055879,0.2,81.5,77.7
1723289797.0612452,1.8,81.8,77.7
1723289802.0660353,1.6,81.5,77.7
1723289807.0716906,0.1,81.5,77.7
1723289812.076745,0.2,81.5,77.7
1723289817.0808072,0.3,81.5,77.7
1723289822.0849907,0.3,81.5,77.7
1723289827.0903282,0.3,81.2,77.7
1723289832.0963576,1.5,81.2,77.7
1723289837.101546,0.2,81.2,77.7
1723289842.1067517,0.1,81.2,77.7
1723289847.1125393,0.2,81.1,77.7
1723289852.1186624,0.8,80.6,77.7
1723289857.1249845,0.3,80.6,77.7
1723289862.130641,1.5,80.6,77.7
1723289867.1352468,0.2,80.6,77.7
1723289872.1413863,0.1,80.6,77.7
1723289877.1473205,0.2,80.6,77.7
1723289882.1512513,0.1,80.5,77.7
1723289887.15709,0.2,80.5,77.7
1723289892.1641285,1.4,80.5,77.7
1723289897.167434,2.3,80.7,77.7
1723289902.1716082,3.1,80.8,77.7
1723392144.9137316,100.0,82.5,77.9
1723392149.92431,15.8,89.1,77.9
1723392154.930599,4.0,86.8,77.9
1723392159.9349675,1.6,86.7,77.9
1723392164.93903,2.9,86.5,77.9
1723392169.9432645,2.1,84.4,77.9
1723392174.9485977,4.6,82.9,77.9
1723392179.9531689,4.1,82.5,77.9
1723392184.9588785,3.5,82.6,77.9
